N,P,K,temperature,humidity,ph,rainfall,label
43.32,45.26,23.12,29.33,71.1,6.46,637.83,Soybean
41.21,47.02,21.92,20.26,63.61,6.98,968.45,Soybean
59.76,23.73,26.85,21.57,73.7,6.36,682.42,Soybean
46.06,40.74,20.67,27.31,69.27,6.1,757.0,Soybean
48.54,45.62,35.38,21.53,64.6,6.08,619.2,Soybean
47.68,28.75,25.09,21.24,65.06,6.25,736.21,Soybean
39.87,28.24,33.38,23.28,75.55,6.48,679.66,Soybean
43.97,31.18,39.9,22.47,68.16,6.43,656.47,Soybean
54.83,36.42,28.78,28.08,72.66,6.65,630.67,Soybean
51.39,26.62,35.2,23.05,77.71,6.28,661.49,Soybean
35.69,48.28,32.1,26.98,78.74,6.16,796.24,Soybean
39.4,21.3,23.63,27.17,72.81,6.58,730.04,Soybean
44.89,31.5,35.59,29.18,76.28,6.54,701.76,Soybean
46.26,30.55,33.7,22.22,61.2,6.94,914.73,Soybean
55.25,29.1,21.32,28.78,69.1,6.22,669.57,Soybean
58.89,20.6,30.68,25.09,60.49,6.57,997.03,Soybean
42.74,45.38,22.87,24.07,70.4,6.37,729.22,Soybean
57.37,29.1,24.23,23.39,67.12,6.2,715.71,Soybean
42.23,35.35,33.39,22.85,76.67,6.56,889.97,Soybean
39.76,45.28,39.66,25.05,67.96,6.36,621.81,Soybean
32.53,28.58,33.44,21.79,68.62,6.15,632.5,Soybean
57.62,23.97,29.5,24.71,79.66,6.35,755.36,Soybean
44.48,30.71,22.45,24.6,63.34,6.44,651.8,Soybean
47.02,26.58,36.36,21.38,68.13,6.2,990.56,Soybean
56.65,20.29,20.99,23.99,60.05,6.68,737.82,Soybean
46.33,29.73,20.07,22.91,70.97,6.96,703.56,Soybean
42.33,49.56,20.65,21.37,76.47,6.51,884.84,Soybean
42.74,34.47,35.4,29.09,78.24,6.95,800.54,Soybean
37.43,39.98,37.99,22.35,79.44,6.73,703.63,Soybean
32.85,48.86,22.99,24.16,63.65,6.44,664.04,Soybean
54.36,44.02,25.42,25.35,64.35,6.16,683.74,Soybean
39.75,47.26,26.55,27.15,78.31,6.51,883.58,Soybean
32.43,33.58,36.37,24.29,77.74,6.87,967.17,Soybean
42.82,44.22,37.64,21.69,68.64,6.6,698.95,Soybean
43.54,34.83,22.94,29.47,66.4,6.98,748.42,Soybean
45.85,38.17,20.38,24.71,66.54,6.76,880.55,Soybean
41.6,31.18,34.11,25.72,74.76,6.76,680.51,Soybean
57.32,39.82,21.53,25.96,63.42,6.37,995.71,Soybean
51.65,28.66,34.43,27.24,79.71,6.72,920.09,Soybean
36.88,41.43,26.76,23.15,78.64,6.34,673.0,Soybean
45.59,41.96,37.23,26.61,68.07,6.45,746.14,Soybean
37.14,24.62,23.54,25.18,76.05,6.61,931.19,Soybean
44.83,31.02,32.53,22.32,73.54,6.91,675.41,Soybean
46.99,23.29,32.97,27.41,61.79,6.34,829.63,Soybean
34.77,33.93,21.78,27.0,67.32,6.27,814.09,Soybean
44.74,36.2,37.78,22.88,65.16,6.31,733.04,Soybean
56.93,40.45,36.3,23.5,72.88,6.74,712.43,Soybean
30.34,20.81,20.66,29.25,77.87,6.04,731.88,Soybean
35.88,20.43,34.72,24.51,74.35,6.91,689.4,Soybean
55.96,38.93,24.02,28.83,71.84,6.51,639.92,Soybean
34.09,37.6,33.6,27.51,77.32,6.02,722.86,Soybean
42.08,33.89,25.29,23.85,60.95,6.99,711.18,Soybean
46.18,47.4,38.42,27.22,75.5,6.37,872.1,Soybean
33.7,24.85,31.76,26.53,70.62,6.85,969.96,Soybean
55.24,43.19,22.18,25.86,79.57,6.97,785.58,Soybean
31.73,42.4,25.78,20.45,77.59,6.67,853.95,Soybean
48.8,42.86,24.22,21.27,61.66,6.17,919.2,Soybean
45.42,22.36,31.37,25.2,61.22,6.93,641.83,Soybean
49.84,24.21,24.6,27.15,71.21,6.29,691.79,Soybean
47.78,35.0,32.26,23.18,74.18,6.5,728.23,Soybean
51.41,38.01,33.88,29.12,69.0,6.91,954.34,Soybean
47.42,28.06,33.15,24.59,69.1,6.54,650.69,Soybean
56.56,20.85,29.72,21.52,78.74,6.55,770.62,Soybean
38.43,37.25,25.97,21.73,64.6,6.16,628.55,Soybean
51.86,40.09,35.35,23.9,73.14,6.18,926.1,Soybean
55.1,23.48,20.85,22.34,76.36,6.41,877.85,Soybean
54.32,28.66,23.76,29.39,66.94,6.12,811.24,Soybean
57.44,32.65,24.35,22.7,63.28,6.9,956.12,Soybean
43.44,33.56,29.78,23.69,77.18,6.84,920.66,Soybean
30.53,49.9,39.3,29.19,77.31,6.15,636.09,Soybean
39.9,27.95,33.96,26.63,76.29,6.1,937.14,Soybean
31.94,29.84,27.86,24.87,71.07,6.43,666.92,Soybean
35.68,48.07,25.36,22.04,67.68,6.82,740.12,Soybean
41.67,43.65,27.18,23.38,68.0,6.73,843.72,Soybean
55.46,20.17,27.24,24.01,73.27,6.28,698.17,Soybean
106.41,61.2,78.45,28.65,85.96,6.07,1692.77,Sugarcane
100.82,65.84,76.64,32.52,85.67,6.29,1231.31,Sugarcane
96.38,51.1,77.86,30.86,81.2,6.03,1571.91,Sugarcane
114.49,58.17,74.02,29.11,88.98,6.4,1363.17,Sugarcane
112.65,57.4,63.57,31.43,75.83,6.72,1717.9,Sugarcane
93.3,56.23,70.21,27.68,74.86,6.87,1576.26,Sugarcane
118.51,61.09,63.62,25.84,78.74,6.96,1348.08,Sugarcane
92.8,65.71,71.69,31.49,76.25,6.83,1636.43,Sugarcane
103.18,52.31,53.76,26.25,88.3,6.29,1523.1,Sugarcane
100.4,55.92,78.16,26.05,82.93,6.75,1700.2,Sugarcane
99.38,59.42,60.99,30.22,70.51,6.38,1568.45,Sugarcane
107.61,53.27,56.23,31.23,83.35,6.8,1618.95,Sugarcane
97.88,64.36,73.07,33.5,78.67,6.15,1569.78,Sugarcane
100.81,68.88,72.34,31.87,81.41,6.22,1705.33,Sugarcane
107.23,63.73,50.65,34.4,79.53,6.86,1570.4,Sugarcane
114.56,61.67,52.46,27.43,72.59,6.62,1433.62,Sugarcane
112.8,68.97,65.29,29.08,71.95,6.34,1394.91,Sugarcane
100.94,61.93,73.63,32.12,87.48,6.53,1473.9,Sugarcane
113.54,59.92,55.79,29.01,83.6,6.96,1437.86,Sugarcane
104.75,52.18,60.53,30.19,74.19,6.09,1384.67,Sugarcane
94.66,62.21,75.07,34.86,81.09,6.78,1723.55,Sugarcane
100.29,63.15,72.56,33.18,72.21,6.67,1359.46,Sugarcane
111.46,53.0,73.48,27.71,78.35,6.44,1457.0,Sugarcane
119.29,56.33,70.42,31.85,77.12,6.19,1549.42,Sugarcane
118.26,53.72,66.63,27.63,89.05,6.1,1236.09,Sugarcane
91.74,60.52,75.42,31.01,85.83,6.6,1460.45,Sugarcane
117.21,62.1,55.11,31.19,79.86,6.27,1222.16,Sugarcane
111.81,69.99,68.62,31.54,88.98,6.04,1681.14,Sugarcane
109.93,56.52,73.8,25.55,84.65,6.02,1656.58,Sugarcane
107.24,69.21,63.69,34.6,80.92,6.23,1643.89,Sugarcane
92.35,52.76,63.48,34.84,77.92,6.14,1765.77,Sugarcane
102.88,56.94,68.62,28.66,73.4,6.0,1612.82,Sugarcane
119.9,64.44,78.52,32.08,76.34,6.38,1641.35,Sugarcane
118.99,56.54,56.35,31.37,79.6,6.24,1236.44,Sugarcane
95.33,52.34,60.57,29.79,80.75,6.2,1759.9,Sugarcane
103.09,53.39,69.55,33.04,72.16,6.43,1772.44,Sugarcane
107.05,50.9,65.33,27.65,85.76,6.41,1408.0,Sugarcane
108.7,50.92,70.43,27.19,88.44,6.3,1634.14,Sugarcane
92.68,61.69,68.83,30.07,70.39,6.45,1294.75,Sugarcane
105.29,51.0,67.77,31.03,82.95,6.66,1565.96,Sugarcane
99.65,63.39,68.38,27.51,79.83,6.86,1524.89,Sugarcane
103.49,67.85,50.75,27.74,83.58,6.6,1601.07,Sugarcane
94.04,63.09,65.98,27.18,84.03,6.36,1480.13,Sugarcane
106.29,53.59,74.59,25.99,73.25,6.14,1353.15,Sugarcane
101.58,50.62,62.75,25.92,86.71,6.77,1625.57,Sugarcane
97.91,52.25,56.07,34.87,78.56,6.58,1586.27,Sugarcane
95.21,54.1,72.37,33.34,77.91,6.9,1404.56,Sugarcane
107.49,59.6,63.85,34.43,83.34,6.35,1454.66,Sugarcane
116.43,54.46,54.58,26.82,76.04,6.98,1681.63,Sugarcane
90.06,56.65,76.53,29.83,86.12,6.72,1232.45,Sugarcane
105.1,57.19,65.62,27.42,74.51,6.02,1528.31,Sugarcane
117.13,56.53,71.35,28.31,87.46,6.03,1766.46,Sugarcane
99.37,66.67,68.04,26.59,89.26,6.16,1585.89,Sugarcane
91.26,59.13,57.62,34.35,82.76,6.96,1701.16,Sugarcane
91.84,54.6,79.61,30.04,74.89,6.41,1699.0,Sugarcane
112.77,54.74,70.43,27.15,87.95,6.39,1571.31,Sugarcane
118.14,61.87,62.37,29.71,81.08,6.3,1530.05,Sugarcane
109.31,59.45,75.11,26.03,71.47,6.01,1784.55,Sugarcane
119.5,52.65,59.45,26.85,83.37,6.68,1288.0,Sugarcane
105.78,55.3,53.07,29.21,77.66,6.56,1214.59,Sugarcane
115.86,51.79,64.68,29.63,75.0,6.01,1561.45,Sugarcane
100.78,56.52,63.56,33.6,80.95,6.9,1285.82,Sugarcane
114.2,57.17,65.03,30.85,87.9,6.62,1701.74,Sugarcane
99.93,64.63,73.14,27.59,73.15,6.46,1372.84,Sugarcane
91.84,55.06,70.87,31.38,88.05,6.75,1238.16,Sugarcane
91.04,51.79,52.81,25.14,81.99,6.06,1394.36,Sugarcane
108.32,54.53,79.05,29.09,77.27,6.02,1232.8,Sugarcane
98.04,60.15,64.04,26.96,78.21,6.83,1636.14,Sugarcane
98.8,53.34,58.82,30.84,74.23,6.1,1593.26,Sugarcane
102.95,57.13,51.7,33.7,76.99,6.63,1773.08,Sugarcane
105.88,65.98,69.68,30.62,71.5,6.88,1750.87,Sugarcane
103.29,52.73,51.7,27.12,72.33,6.52,1780.99,Sugarcane
115.44,69.6,72.44,26.27,88.1,6.91,1595.63,Sugarcane
91.68,59.8,50.12,29.69,85.91,6.12,1623.48,Sugarcane
90.13,51.56,56.95,26.38,70.64,6.41,1264.49,Sugarcane
106.69,66.05,73.04,32.43,86.42,6.35,1588.86,Sugarcane
95.24,61.99,75.49,30.45,73.14,6.82,1778.54,Sugarcane
100.47,65.86,74.86,34.85,87.67,6.53,1503.27,Sugarcane
96.04,55.54,53.93,33.7,81.64,6.8,1311.23,Sugarcane
103.24,55.28,61.57,31.76,87.93,6.71,1377.6,Sugarcane
94.63,64.52,54.62,29.93,76.68,6.0,1283.47,Sugarcane
110.64,53.23,51.79,27.77,71.8,6.74,1373.83,Sugarcane
100.45,55.74,53.2,32.52,83.9,6.92,1287.69,Sugarcane
118.79,64.68,69.04,28.29,72.68,6.84,1566.46,Sugarcane
90.64,61.17,68.93,34.54,75.45,6.67,1739.93,Sugarcane
100.18,67.18,64.21,27.06,83.83,6.51,1573.12,Sugarcane
94.13,56.63,74.85,29.42,70.81,6.74,1397.07,Sugarcane
90.12,53.51,51.89,27.9,71.05,6.42,1356.56,Sugarcane
117.89,56.06,77.24,26.15,87.91,6.38,1329.91,Sugarcane
115.28,63.19,72.18,34.07,71.17,6.03,1731.8,Sugarcane
93.66,67.25,57.53,34.84,86.65,6.53,1645.38,Sugarcane
103.32,56.25,50.47,34.83,83.15,6.51,1215.39,Sugarcane
108.15,55.5,63.46,26.62,77.34,6.48,1680.01,Sugarcane
119.72,51.47,71.09,28.7,82.99,6.17,1682.79,Sugarcane
105.65,52.0,54.87,26.48,71.76,6.96,1603.53,Sugarcane
111.62,66.02,71.78,26.64,87.17,6.33,1527.56,Sugarcane
105.42,56.88,57.6,33.74,71.91,6.14,1456.53,Sugarcane
98.49,63.44,51.75,34.16,79.05,6.03,1777.05,Sugarcane
116.25,60.4,75.68,29.44,74.38,6.9,1557.24,Sugarcane
93.73,67.31,64.95,30.19,80.8,6.56,1464.62,Sugarcane
88.12,37.86,46.12,29.26,64.69,5.5,1156.19,Tobacco
82.34,32.63,56.55,22.98,60.87,5.78,926.11,Tobacco
73.29,56.06,39.64,26.07,74.22,6.27,1094.81,Tobacco
82.73,48.31,45.6,23.98,67.13,6.28,880.81,Tobacco
84.7,57.67,45.72,29.5,78.58,5.65,776.88,Tobacco
84.54,34.58,31.73,24.74,78.84,6.47,1093.41,Tobacco
87.04,41.4,36.29,24.79,79.3,5.53,1175.35,Tobacco
62.94,54.85,59.85,25.64,68.94,6.45,1141.87,Tobacco
68.03,48.47,36.24,23.23,74.48,6.28,1055.98,Tobacco
87.0,37.65,49.55,24.09,62.18,5.92,1187.4,Tobacco
85.15,37.79,52.31,27.82,77.02,5.94,850.79,Tobacco
69.09,48.2,33.74,29.02,75.87,5.76,909.01,Tobacco
77.91,40.55,50.18,27.08,62.44,5.66,1199.39,Tobacco
64.15,37.02,55.04,22.97,72.3,6.15,790.6,Tobacco
62.27,36.03,42.91,22.99,74.2,6.08,900.76,Tobacco
73.74,39.92,50.96,24.89,67.54,5.64,1047.09,Tobacco
76.94,31.83,46.89,24.18,62.13,5.73,1190.44,Tobacco
82.33,53.45,30.7,28.71,75.05,5.61,801.36,Tobacco
76.45,46.94,49.11,26.85,61.92,5.62,820.09,Tobacco
64.19,36.74,32.15,24.88,67.43,6.37,1137.54,Tobacco
65.53,34.81,48.86,24.13,67.83,6.48,860.75,Tobacco
67.82,38.25,46.77,23.51,62.78,6.25,781.43,Tobacco
68.78,53.58,56.77,27.94,69.29,6.09,1073.29,Tobacco
70.49,57.82,40.5,25.77,79.69,6.38,731.01,Tobacco
67.36,34.28,30.55,23.88,75.75,5.86,978.91,Tobacco
63.14,58.54,44.53,22.33,75.57,6.06,950.06,Tobacco
67.21,41.87,32.19,27.61,65.03,5.94,855.89,Tobacco
86.4,39.86,55.93,23.86,73.89,5.74,739.53,Tobacco
69.64,45.34,50.97,26.02,70.69,6.13,870.78,Tobacco
72.16,50.82,59.25,24.1,72.54,6.41,925.52,Tobacco
78.98,45.23,40.87,22.64,62.47,5.6,994.54,Tobacco
72.87,49.49,57.32,24.27,67.11,5.94,1086.25,Tobacco
60.06,42.8,36.49,23.7,78.22,5.65,881.83,Tobacco
63.12,52.27,40.0,22.79,64.41,6.5,1065.78,Tobacco
75.57,34.88,42.38,23.19,78.58,5.88,808.01,Tobacco
69.57,44.52,36.37,27.45,77.52,6.22,1124.01,Tobacco
72.77,47.29,48.64,28.25,75.67,6.05,1025.05,Tobacco
77.16,53.62,40.17,22.04,67.14,5.91,747.32,Tobacco
89.58,50.7,53.07,24.13,61.53,5.55,801.33,Tobacco
87.35,55.32,37.58,22.99,72.53,6.22,758.24,Tobacco
75.84,36.74,36.36,27.38,69.45,5.7,834.8,Tobacco
83.28,40.23,51.85,22.39,62.3,5.83,868.6,Tobacco
82.38,34.65,55.89,28.48,78.58,5.93,839.16,Tobacco
75.62,32.33,56.79,24.87,73.61,5.82,882.43,Tobacco
67.14,44.36,32.34,22.32,70.42,6.23,1041.25,Tobacco
89.05,46.68,58.39,24.79,68.15,6.46,912.68,Tobacco
83.91,58.77,43.54,28.9,77.12,6.23,772.61,Tobacco
60.41,32.1,59.55,25.6,73.69,5.75,904.22,Tobacco
68.22,58.62,49.17,24.89,61.07,6.21,1120.94,Tobacco
81.24,44.89,57.15,22.32,77.59,6.05,931.64,Tobacco
63.52,59.61,43.04,27.08,75.21,5.74,903.06,Tobacco
64.26,52.52,47.27,22.33,73.74,5.72,1176.31,Tobacco
69.44,56.76,39.83,29.78,64.99,6.49,731.93,Tobacco
88.13,40.74,36.9,24.06,71.37,6.18,818.93,Tobacco
66.57,59.43,48.33,22.69,66.03,6.1,1198.82,Tobacco
77.67,37.23,57.66,25.87,79.9,6.29,782.13,Tobacco
83.65,47.83,30.7,24.52,68.81,6.28,922.65,Tobacco
67.4,46.92,36.03,28.82,74.43,6.39,812.09,Tobacco
66.17,34.47,40.02,29.05,74.08,6.05,1049.22,Tobacco
63.46,40.42,53.58,22.02,78.52,5.96,711.9,Tobacco
80.63,43.73,39.75,25.71,71.56,6.33,1149.58,Tobacco
72.47,35.01,52.86,27.95,71.17,5.5,1088.82,Tobacco
72.2,45.66,52.05,27.84,63.41,6.45,1045.92,Tobacco
65.92,56.92,59.42,27.21,71.2,6.21,1106.21,Tobacco
86.77,53.28,37.1,27.77,76.85,5.61,749.59,Tobacco
84.58,44.98,46.4,27.0,70.28,6.45,823.78,Tobacco
83.36,54.92,49.29,23.73,64.5,5.71,862.98,Tobacco
73.15,40.92,42.18,23.63,66.07,6.43,805.03,Tobacco
71.62,30.57,31.35,28.06,68.43,6.16,1016.14,Tobacco
61.72,45.74,52.57,26.37,78.73,6.19,985.05,Tobacco
68.95,38.9,50.43,24.88,66.84,6.48,714.97,Tobacco
84.85,58.71,49.24,28.4,79.8,5.95,793.39,Tobacco
87.02,36.61,35.98,24.0,79.31,6.23,740.32,Tobacco
64.36,39.24,58.53,26.52,65.26,6.46,803.76,Tobacco
84.35,43.36,39.39,24.67,62.43,5.76,1183.0,Tobacco
89.66,52.58,34.09,22.33,71.21,5.51,1166.36,Tobacco
68.67,46.75,40.55,22.83,71.36,5.85,1037.56,Tobacco
82.09,52.02,58.16,22.9,64.45,5.66,974.82,Tobacco
68.71,45.2,54.86,22.95,65.08,6.03,833.07,Tobacco
76.26,54.04,37.78,27.25,63.55,6.05,853.58,Tobacco
79.6,34.7,44.29,24.53,63.54,5.75,1005.88,Tobacco
80.79,30.65,56.82,29.36,65.84,5.55,926.1,Tobacco
75.21,51.34,57.42,28.09,60.77,6.33,991.16,Tobacco
60.94,42.61,33.97,28.11,61.15,6.2,925.89,Tobacco
73.17,52.63,31.52,26.27,64.01,6.21,1176.77,Tobacco
69.23,38.56,48.69,23.23,76.67,5.79,1007.85,Tobacco
78.54,39.55,52.63,27.37,74.62,6.07,907.43,Tobacco
80.67,41.45,46.54,23.72,77.89,6.45,955.7,Tobacco
71.83,58.21,49.04,25.07,77.26,6.28,1041.24,Tobacco
88.21,58.08,41.82,23.93,79.97,5.79,1050.11,Tobacco
89.85,55.71,59.98,28.54,78.27,6.16,1094.86,Tobacco
69.38,55.91,45.02,27.34,66.81,5.77,1011.17,Tobacco
82.03,54.52,58.64,27.34,75.78,5.54,1130.23,Tobacco
65.07,44.68,55.06,22.75,63.2,6.49,877.14,Tobacco
64.48,47.77,52.72,24.18,70.76,5.79,1146.13,Tobacco
67.21,45.95,40.2,26.92,78.86,6.38,714.47,Tobacco
82.46,56.37,41.37,22.4,67.89,5.85,996.25,Tobacco
67.64,31.91,59.5,26.91,69.27,5.79,708.93,Tobacco
74.69,36.96,36.56,24.59,79.33,5.81,773.7,Tobacco
63.06,30.46,55.02,29.94,78.19,6.14,1133.51,Tobacco
74.63,49.09,34.63,28.54,63.61,6.79,501.39,Tomato
75.47,32.91,31.9,20.21,70.34,6.73,542.34,Tomato
53.21,47.99,36.37,27.54,62.01,6.02,581.33,Tomato
53.84,56.39,24.87,26.84,62.45,6.4,445.49,Tomato
53.3,52.7,24.01,25.64,75.22,6.66,720.74,Tomato
53.35,36.16,35.88,22.03,61.72,6.69,753.72,Tomato
51.0,44.68,24.83,25.64,65.95,6.7,575.24,Tomato
61.08,37.92,31.18,26.83,79.08,6.59,494.56,Tomato
73.76,39.81,48.82,27.77,62.8,6.04,415.22,Tomato
78.4,42.28,38.74,28.52,70.82,6.63,666.58,Tomato
71.79,31.33,32.46,21.69,71.18,6.41,471.06,Tomato
62.7,38.81,37.19,28.59,77.69,6.67,674.86,Tomato
72.54,53.27,44.85,21.15,68.68,6.56,606.95,Tomato
62.01,59.38,47.07,28.71,79.68,6.38,683.76,Tomato
65.69,53.27,48.44,22.08,71.17,6.22,405.63,Tomato
74.65,57.24,20.87,29.47,60.04,6.68,592.44,Tomato
78.75,58.27,39.51,22.87,73.39,6.73,433.77,Tomato
51.83,50.42,46.48,23.62,72.65,6.61,513.59,Tomato
73.98,49.26,49.09,28.25,68.09,6.72,685.58,Tomato
67.04,41.43,45.95,28.23,63.22,6.53,630.64,Tomato
78.17,56.47,32.23,28.43,64.43,6.37,629.92,Tomato
50.96,45.74,28.73,27.69,66.24,6.65,402.42,Tomato
67.39,34.27,28.19,21.13,75.21,6.43,734.3,Tomato
65.07,39.66,29.93,29.07,79.86,6.01,663.43,Tomato
67.12,56.09,42.56,20.88,72.8,6.58,418.41,Tomato
72.54,48.49,39.48,21.84,73.74,6.77,472.18,Tomato
60.05,51.14,46.25,20.92,64.69,6.61,751.01,Tomato
62.99,32.89,49.56,23.74,70.52,6.68,587.07,Tomato
72.08,54.23,38.98,24.17,74.01,6.71,702.01,Tomato
78.32,35.28,37.05,29.28,63.64,6.35,665.97,Tomato
54.46,44.19,35.09,20.37,61.29,6.79,723.5,Tomato
67.46,45.93,49.06,24.79,61.8,6.49,612.54,Tomato
71.43,36.06,43.97,23.86,60.42,6.27,766.43,Tomato
61.91,37.26,31.49,26.17,77.94,6.61,582.69,Tomato
50.29,51.72,31.22,29.66,63.06,6.23,765.51,Tomato
69.07,52.43,21.31,23.5,75.37,6.19,403.68,Tomato
60.7,32.28,37.58,20.53,64.64,6.23,760.36,Tomato
55.55,49.81,36.58,27.53,64.67,6.28,528.27,Tomato
51.9,31.97,27.55,28.78,66.59,6.79,748.94,Tomato
57.59,45.98,36.53,26.98,61.12,6.77,595.89,Tomato
52.52,46.94,26.76,24.13,63.95,6.67,655.03,Tomato
67.77,49.65,36.03,22.57,68.97,6.51,573.24,Tomato
62.5,38.55,28.07,23.41,69.86,6.62,556.33,Tomato
50.98,51.4,24.12,21.37,74.89,6.35,652.67,Tomato
54.98,37.14,31.56,27.64,75.0,6.74,679.76,Tomato
55.5,38.02,38.43,23.14,73.13,6.16,672.02,Tomato
58.99,43.89,36.69,27.6,70.93,6.29,771.92,Tomato
60.34,48.42,29.56,21.88,71.29,6.64,442.63,Tomato
73.8,33.83,49.71,23.04,68.41,6.32,581.69,Tomato
63.71,40.86,43.12,27.2,78.01,6.68,518.62,Tomato
53.25,57.07,24.05,24.33,72.0,6.25,669.52,Tomato
50.14,36.03,38.08,28.45,71.56,6.23,415.16,Tomato
69.92,45.62,20.54,21.13,76.36,6.78,407.0,Tomato
66.16,48.12,33.66,29.93,70.52,6.52,453.66,Tomato
57.98,37.21,27.59,24.73,70.39,6.47,569.35,Tomato
72.6,45.1,21.24,26.97,75.67,6.17,476.54,Tomato
61.9,35.76,30.05,29.93,71.51,6.45,633.82,Tomato
58.72,43.82,41.37,27.73,65.04,6.14,480.01,Tomato
75.83,50.34,42.72,27.13,76.79,6.53,555.21,Tomato
64.47,42.74,21.19,21.66,71.67,6.29,547.75,Tomato
67.38,57.52,39.47,27.32,69.89,6.76,688.01,Tomato
50.78,54.2,29.64,23.01,64.4,6.23,557.83,Tomato
68.09,44.94,32.66,20.78,74.13,6.41,688.38,Tomato
71.66,56.47,37.62,23.28,60.92,6.17,780.05,Tomato
60.09,58.35,43.02,23.27,72.41,6.33,615.61,Tomato
66.45,32.27,45.58,21.45,68.43,6.74,463.07,Tomato
53.32,50.34,44.94,27.61,68.57,6.18,479.14,Tomato
73.09,36.17,28.08,20.53,61.15,6.52,582.62,Tomato
73.77,54.01,43.0,29.27,70.44,6.73,729.71,Tomato
57.42,34.81,24.52,24.19,60.99,6.35,574.45,Tomato
55.38,35.29,40.78,21.72,76.19,6.52,673.99,Tomato
74.0,38.56,22.05,20.97,60.91,6.21,539.18,Tomato
56.29,34.82,36.96,24.7,71.36,6.45,762.16,Tomato
51.88,30.99,44.74,28.79,67.58,6.39,561.49,Tomato
62.6,41.96,23.48,21.61,63.69,6.62,504.32,Tomato
75.55,47.37,47.71,22.48,79.52,6.48,413.7,Tomato
78.98,40.16,38.08,27.07,77.21,6.22,613.3,Tomato
75.46,36.43,29.46,26.78,75.18,6.53,700.88,Tomato
75.19,47.71,36.79,26.65,71.52,6.09,606.79,Tomato
62.41,52.49,20.34,27.4,61.77,6.72,630.69,Tomato
58.69,55.22,48.62,28.8,66.94,6.31,549.06,Tomato
51.01,52.6,33.91,24.99,68.26,6.34,739.7,Tomato
58.14,57.9,30.98,29.35,77.16,6.1,721.68,Tomato
74.2,33.74,35.59,20.91,73.01,6.35,632.7,Tomato
59.8,35.01,40.02,22.99,75.73,6.03,419.34,Tomato
53.11,53.4,49.54,23.49,71.28,6.42,686.83,Tomato
57.61,49.16,39.6,29.26,65.43,6.07,566.51,Tomato
62.33,45.69,33.98,27.22,74.52,6.69,604.74,Tomato
79.29,53.54,40.26,29.92,62.08,6.5,414.76,Tomato
67.61,33.2,40.33,29.27,72.68,6.27,661.63,Tomato
57.13,54.89,29.63,22.98,78.42,6.49,414.77,Tomato
66.62,56.02,47.72,27.68,74.03,6.17,781.05,Tomato
67.45,43.21,31.97,20.64,63.83,6.04,537.72,Tomato
55.08,47.43,36.49,26.19,70.93,6.26,400.16,Tomato
66.08,52.36,37.41,25.32,72.74,6.22,652.03,Tomato
70.82,58.66,42.05,23.75,77.09,6.72,521.8,Tomato
71.56,51.96,49.41,25.21,79.92,6.51,729.37,Tomato
59.14,55.31,29.55,20.73,64.72,6.65,589.89,Tomato
67.18,30.34,25.3,22.03,70.76,6.17,510.07,Tomato
66.0,40.85,37.78,28.02,67.74,6.4,648.55,Tomato
89.4,58.21,34.36,21.87,63.35,5.82,505.19,Potato
67.48,50.52,36.56,20.83,60.08,5.73,637.99,Potato
69.93,56.15,44.71,23.25,66.78,5.54,516.17,Potato
88.5,46.35,31.7,21.91,71.66,6.17,617.21,Potato
66.53,50.66,46.52,24.33,74.97,5.74,680.07,Potato
72.59,41.98,37.68,18.3,67.27,5.98,728.57,Potato
63.27,58.19,42.34,24.36,63.5,6.45,630.19,Potato
66.27,52.07,42.62,24.13,77.61,6.25,607.77,Potato
71.43,53.35,35.35,20.75,70.6,5.52,590.85,Potato
69.8,56.61,31.57,19.91,66.05,6.24,669.82,Potato
71.7,41.44,46.18,24.92,68.49,5.53,734.66,Potato
68.06,51.41,47.18,18.43,63.24,5.85,552.1,Potato
85.6,45.37,38.43,18.03,77.21,5.7,675.55,Potato
67.95,45.63,36.86,21.66,61.63,5.83,729.53,Potato
71.17,40.63,38.35,24.17,67.18,6.1,554.11,Potato
69.67,40.91,30.66,20.86,69.32,6.21,549.51,Potato
63.47,44.11,43.79,18.14,60.11,5.51,523.82,Potato
86.8,51.74,42.34,20.92,63.91,5.73,765.16,Potato
61.89,47.71,47.47,22.55,61.09,5.8,693.26,Potato
82.31,53.1,36.75,18.59,70.78,6.49,596.11,Potato
60.67,43.83,31.08,18.48,76.52,6.17,729.36,Potato
75.67,56.08,47.65,18.2,69.05,5.94,592.68,Potato
65.93,40.35,31.07,23.99,71.91,6.38,614.65,Potato
74.03,53.81,44.16,21.7,79.55,6.43,791.72,Potato
61.33,45.07,49.83,23.68,76.09,6.24,579.83,Potato
73.06,57.72,35.68,19.51,78.96,5.93,502.88,Potato
67.84,40.22,33.27,18.82,71.48,6.48,501.9,Potato
77.62,56.71,35.95,20.41,66.9,6.49,716.4,Potato
63.73,50.77,31.35,18.23,68.08,6.29,684.34,Potato
79.84,58.24,44.26,21.66,78.06,5.91,598.63,Potato
83.02,59.38,43.48,22.28,79.83,6.0,631.71,Potato
69.28,54.45,47.38,23.55,71.33,5.53,715.19,Potato
68.31,46.7,34.56,18.84,65.07,5.92,539.55,Potato
81.46,43.4,30.9,23.84,75.32,6.01,505.15,Potato
88.13,47.04,47.29,18.93,72.79,5.75,524.93,Potato
82.83,44.45,47.23,21.42,65.1,6.42,608.91,Potato
